id,name,average_amount_any_grant_aid,average_amount_any_loan_aid,average_coa,average_amount_personal_contribution,size_category,control,degree_urbanization,state,size,total_enrollment,percent_women,percent_men,percent_native_american,percent_asian_pacific_islander,percent_asian,percent_pacific_islander,percent_african_american,percent_hispanic,percent_white,percent_race_ethnicity_unknown,percent_nonresident_alien,percent_multiracial,total_students,type,degree_granting,percent_under_18,percent_men_under_18,percent_women_under_18,percent_18_to_19,percent_men_18_to_19,percent_women_18_to_19,percent_20_to_21,percent_men_20_to_21,percent_women_20_to_21,percent_22_to_24,percent_men_22_to_24,percent_women_22_to_24,percent_25_to_29,percent_men_25_to_29,percent_women_25_to_29,percent_30_to_34,percent_men_30_to_34,percent_women_30_to_34,percent_35_to_39,percent_men_35_to_39,percent_women_35_to_39,percent_40_to_49,percent_men_40_to_49,percent_women_40_to_49,percent_50_to_64,percent_men_50_to_64,percent_women_50_to_64,percent_65_over,percent_men_65_over,percent_women_65_over,percent_age_unknown,percent_men_age_unknown,percent_women_age_unknown
126076,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,14256,0,23000,8744,Under 1-000,Private not-for-profit,Large,California,999,140,0,100,0,0,0,0,0,0,89,0,11,0,140,private,yes,26,26,0,47,47,0,25,25,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
192624,Machzikei Hadath Rabbinical College,7680,0,19495,11815,Under 1-000,Private not-for-profit,Large,New York,999,141,0,100,0,0,0,0,0,0,98,0,2,0,141,private,yes,4,4,0,41,41,0,31,31,0,14,14,0,4,4,0,2,2,0,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
444778,New Life Theological Seminary,3252,6966,19109,8891,Under 1-000,Private not-for-profit,Large,North Carolina,999,144,53,47.22222222,0,0,0,0,78,1,14,2,4,1,144,private,yes,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,2,2,6,4,2,9,4,4,11,7,3,29,16,13,36,11,24,2,0,1,0,0,0
446710,University of Phoenix-Springfield  Campus,5032,8667,20130.5,6431.5,Under 1-000,Private for-profit,Midsize,Missouri,999,155,63,37.41935484,1,0,0,0,5,1,66,25,0,2,155,for-profit,yes,-1,-1,-1,4,0,3,6,2,3,16,7,9,19,11,7,19,6,12,13,4,9,15,3,12,4,0,3,-1,-1,-1,0,0,0
460783,Remington College,4161,8291,20091,7639,Under 1-000,Private not-for-profit,Large,Florida,999,157,80,20.38216561,1,2,1,1,23,9,43,22,0,1,157,private,yes,-1,-1,-1,1,0,1,5,0,4,17,1,16,19,3,15,23,5,18,15,4,10,13,2,10,4,2,1,-1,-1,-1,-1,-1,-1
208725,New Hope Christian College,6298,6537,20743.33333,7908.333333,Under 1-000,Private not-for-profit,Midsize,Oregon,999,158,36,63.92405063,0,4,1,3,4,11,61,1,1,17,158,private,yes,2,0,2,29,15,13,21,11,10,16,14,1,10,6,3,1,1,0,3,1,1,3,0,2,1,1,0,-1,-1,-1,9,8,0
174206,Crossroads College,7754,7319,24586.66667,9513.666667,Under 1-000,Private not-for-profit,Midsize,Minnesota,999,160,56,44.375,0,3,2,1,6,3,87,0,1,1,160,private,yes,8,0,8,11,1,10,21,8,13,23,14,9,10,8,1,6,5,1,4,1,2,4,1,2,4,1,2,-1,-1,-1,5,0,5
404338,Schiller International University,7209,8127,28036,12700,Under 1-000,Private for-profit,Small,Florida,999,163,58,42.33128834,0,1,0,1,6,2,10,35,46,0,163,for-profit,yes,-1,-1,-1,0,0,0,11,4,6,36,16,20,22,11,11,9,3,6,4,1,3,8,2,6,4,2,2,0,0,0,-1,-1,-1
235769,Trinity Lutheran College,12224,5946,28782,10612,Under 1-000,Private not-for-profit,Midsize,Washington,999,163,53,47.2392638,1,7,5,2,7,18,58,1,7,0,163,private,yes,1,0,0,23,7,16,29,16,12,23,16,6,5,2,3,3,0,3,3,0,3,4,1,3,4,1,2,-1,-1,-1,-1,-1,-1
197647,Yeshiva Derech Chaim,7848,0,19330,11482,Under 1-000,Private not-for-profit,Large,New York,999,164,0,100,0,0,0,0,0,0,91,0,9,0,164,private,yes,6,6,0,26,26,0,18,18,0,17,17,0,18,18,0,9,9,0,1,1,0,2,2,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
