id,name,percent_any_financial_aid,percent_any_grant_aid,average_amount_any_grant_aid,percent_federal_grant_aid,average_amount_federal_grant_aid,percent_pell_grant_aid,average_amount_pell_grant_aid,percent_other_grant_aid,average_amount_other_grant_aid,percent_state_grant_aid,average_amount_state_grant_aid,percent_institutional_grant_aid,average_amount_institutional_grant_aid,percent_any_loan_aid,average_amount_any_loan_aid,percent_federal_loan_aid,average_amount_federal_loan_aid,percent_other_loan_aid,average_amount_other_loan_aid
217721,Benedict College,93,93,11324,91,4922,89,4497,54,886,29,4702,76,6200,93,11460,93,11194,2,12091
217749,Bob Jones University,76,76,6689,65,3293,49,3834,43,649,18,5942,53,3550,51,3258,49,2998,3,8293
217819,College of Charleston,73,62,8778,21,4945,20,4131,20,996,48,5340,29,6519,43,6234,42,5482,3,13678
217864,Citadel Military College of South Carolina,85,68,10462,26,4664,26,4338,10,865,43,4399,32,12475,62,7385,61,5502,7,17058
217925,Columbia International University,97,95,11823,53,4549,53,4268,15,1000,50,6574,90,6221,53,7984,52,4595,23,7911
217934,Columbia College,93,93,21481,56,5315,56,4732,37,893,78,6135,93,13105,90,5981,90,5387,9,5905
217961,Converse College,100,100,20728,54,4617,54,3868,45,896,70,6454,100,13732,78,8274,73,8423,5,5986
218399,Morris College,100,96,7334,93,5969,92,5032,77,1143,56,2572,14,447,100,6006,100,6006,0,
218663,University of South Carolina-Columbia,90,84,7453,22,4961,21,4074,21,955,55,5142,58,3999,49,6073,49,5202,4,12112
218724,Coastal Carolina University,91,74,7258,40,4977,40,4199,36,864,47,4787,24,4973,73,7329,72,5568,10,13549
218964,Winthrop University,98,96,9018,48,5346,44,4515,45,1323,88,4800,38,4953,72,6599,72,5918,8,6679
218973,Wofford College,95,92,23100,25,5287,25,4440,18,1193,58,7102,87,18236,42,5265,42,5246,0,1750
219000,Augustana College,100,100,15669,29,5470,27,3881,28,1939,23,1144,100,13800,73,8904,72,7043,15,9496
219204,National American University-Rapid City,82,65,4081,55,3486,55,3302,9,1100,7,7148,13,1967,58,5823,58,5603,2,7012
